agebin,month,Cases,Pop,Year,Run_Number,Sample_ID
5,10,1.623725652695,179.8333333333,2017,0,9.0
100,10,2.362320567481,849.8,2017,0,9.0
5,11,3.167466677725,180.5333333333,2017,0,9.0
100,11,2.668946838006,847.9,2017,0,9.0
5,12,7.821428976953,182,2017,0,9.0
100,12,3.171155471355,844.0666666667,2017,0,9.0
5,1,1.329690366983,183,2018,0,9.0
100,1,1.748070419766,842.1666666667,2018,0,9.0
5,2,0.4716632589698,180.5666666667,2018,0,9.0
100,2,0.6486454373226,844.0666666667,2018,0,9.0
5,3,0.1355114132166,179.5666666667,2018,0,9.0
100,3,0.3302647573873,847.3,2018,0,9.0
5,4,0.06859613209963,177.3666666667,2018,0,9.0
100,4,0.1716839186847,850.4,2018,0,9.0
5,5,0.1368835568428,177.7666666667,2018,0,9.0
100,5,0.4863996133208,850.4666666667,2018,0,9.0
5,6,0.1370377391577,177.5666666667,2018,0,9.0
100,6,0.2142857154831,851.6666666667,2018,0,9.0
5,7,0.7589792460203,176.3333333333,2018,0,9.0
100,7,1.725330134854,853.2666666667,2018,0,9.0
5,8,0.5404404997826,180.1,2018,0,9.0
100,8,4.073915170506,854.1333333333,2018,0,9.0
5,9,2.527793049812,182.9,2018,0,9.0
100,9,6.00870128721,850.4333333333,2018,0,9.0
5,10,2.779691666365,183.8333333333,2018,0,9.0
100,10,2.913684636354,847.6666666667,2018,0,9.0
5,11,3.551496058702,181.5666666667,2018,0,9.0
100,11,2.563966678455,849.4,2018,0,9.0
5,12,8.808044314384,182.3333333333,2018,0,9.0
100,12,3.025178818032,848.6,2018,0,9.0
5,1,1.197457432747,162.5666666667,2015,0,3.0
100,1,1.543842479587,819.6,2015,0,3.0
5,2,1.346863478422,162.6,2015,0,3.0
100,2,1.884962605312,819.7333333333,2015,0,3.0
5,3,0.8986458778381,162.4666666667,2015,0,3.0
100,3,1.24467176199,821.1,2015,0,3.0
5,4,0.7436838001013,163.6,2015,0,3.0
100,4,1.304789356887,820.5666666667,2015,0,3.0
5,5,0.8975409865379,162.6666666667,2015,0,3.0
100,5,1.436891205609,821.3333333333,2015,0,3.0
5,6,1.10964730382,164.4666666667,2015,0,3.0
100,6,1.658956214786,821.4,2015,0,3.0
5,7,0.5964052081108,163.2,2015,0,3.0
100,7,1.193629162386,825.6333333333,2015,0,3.0
5,8,0.5197314694524,163.8666666667,2015,0,3.0
100,8,1.842838712037,825.2666666667,2015,0,3.0
5,9,1.356597214937,161.4333333333,2015,0,3.0
100,9,1.646395534277,827.6666666667,2015,0,3.0
5,10,1.218952178955,159.7,2015,0,3.0
100,10,1.689678761177,828.0666666667,2015,0,3.0
5,11,1.134009920061,160.9333333333,2015,0,3.0
100,11,1.66149698291,827.4666666667,2015,0,3.0
5,12,0.9132610559464,159.8666666667,2015,0,3.0
100,12,2.143776712939,828.6,2015,0,3.0
5,1,1.624284870923,157.3,2016,0,3.0
100,1,1.82140127942,828.3,2016,0,3.0
5,2,1.512540832162,152.8333333333,2016,0,3.0
100,2,1.647523522377,827.1,2016,0,3.0
5,3,1.42054054141,154.1666666667,2016,0,3.0
100,3,1.440363993868,827.8,2016,0,3.0
5,4,1.008073113859,156.9,2016,0,3.0
100,4,1.894539842382,828.4333333333,2016,0,3.0
5,5,1.46679354459,157.6,2016,0,3.0
100,5,2.035914941691,830.6666666667,2016,0,3.0
5,6,1.453269086778,159.0666666667,2016,0,3.0
100,6,1.714165315032,830.4333333333,2016,0,3.0
5,7,0.6839475408196,160.1,2016,0,3.0
100,7,1.218281228095,828.9,2016,0,3.0
5,8,0,160.3666666667,2016,0,3.0
100,8,1.569356311113,829.5333333333,2016,0,3.0
5,9,0.3005352020264,161.9333333333,2016,0,3.0
100,9,1.569987105206,829.2,2016,0,3.0
5,10,0.1469700038433,165.5666666667,2016,0,3.0
100,10,1.412333697081,827,2016,0,3.0
5,11,0.07399148494005,164.4333333333,2016,0,3.0
100,11,1.52652105689,828.9,2016,0,3.0
5,12,0.8208954930305,163.0333333333,2016,0,3.0
100,12,1.354250654578,826.5333333333,2016,0,3.0
5,1,0.7439869642258,163.5333333333,2017,0,3.0
100,1,1.398580255918,826.4333333333,2017,0,3.0
5,2,1.722051247954,162.5,2017,0,3.0
100,2,1.502603245899,825.9,2017,0,3.0
5,3,0.3794967755675,160.3,2017,0,3.0
100,3,1.265929959714,826.5333333333,2017,0,3.0
5,4,1.438199914992,160.7333333333,2017,0,3.0
100,4,1.695685582235,825.1333333333,2017,0,3.0
5,5,1.29621887207,159.5666666667,2017,0,3.0
100,5,1.354523807764,826.3666666667,2017,0,3.0
5,6,0.9147869646549,159.6,2017,0,3.0
100,6,1.619996754453,826.1333333333,2017,0,3.0
5,7,1.151419579983,158.5,2017,0,3.0
100,7,1.704028613865,828.2333333333,2017,0,3.0
5,8,0.3062722980976,158.9,2017,0,3.0
100,8,1.729996804148,829.8666666667,2017,0,3.0
5,9,0.1517356038094,160.3666666667,2017,0,3.0
100,9,1.291983425617,828.7,2017,0,3.0
5,10,0.2996715903282,162.4,2017,0,3.0
100,10,1.602553804405,827.5333333333,2017,0,3.0
5,11,0.3737456351519,162.7666666667,2017,0,3.0
100,11,1.619278099388,826.5,2017,0,3.0
5,12,1.042431652546,163.4,2017,0,3.0
100,12,1.179178580642,825.4333333333,2017,0,3.0
5,1,0.8295454159379,161.3333333333,2018,0,3.0
100,1,1.645269006491,828.2333333333,2018,0,3.0
5,2,0.9115504324436,160.1666666667,2018,0,3.0
100,2,1.231572590768,829.8333333333,2018,0,3.0
5,3,1.284945130348,160.9666666667,2018,0,3.0
100,3,1.482844613492,828.7,2018,0,3.0
5,4,0.6721915528178,162.9,2018,0,3.0
100,4,1.248490931466,828.3333333333,2018,0,3.0
5,5,0.8177189454436,163.6666666667,2018,0,3.0
100,5,1.351470969617,828.2333333333,2018,0,3.0
5,6,0.5940997004509,163.8333333333,2018,0,3.0
100,6,1.555877231061,828.9,2018,0,3.0
5,7,0.9589733108878,164.9333333333,2018,0,3.0
100,7,1.598497298546,829.6333333333,2018,0,3.0
5,8,0.1490404307842,163.2666666667,2018,0,3.0
100,8,1.701973710209,829.2333333333,2018,0,3.0
5,9,0.4448507130146,164.1,2018,0,3.0
100,9,1.33340020664,830.3333333333,2018,0,3.0
5,10,0.3721451759338,163.4666666667,2018,0,3.0
100,10,1.422001739033,829.9333333333,2018,0,3.0
5,11,0.3748203068972,162.3,2018,0,3.0
100,11,1.186777434312,830.4,2018,0,3.0
5,12,1.182904601097,164.5666666667,2018,0,3.0
100,12,1.298465140164,833.9333333333,2018,0,3.0
5,1,3.349931806326,170.7,2015,0,4.0
100,1,3.221886246465,827,2015,0,4.0
5,2,1.733966767788,168.4,2015,0,4.0
100,2,2.028839590028,827.5666666667,2015,0,4.0
5,3,0.5088627710938,167.3666666667,2015,0,4.0
100,3,0.9160459898412,823.4666666667,2015,0,4.0
5,4,0.2914171516895,167,2015,0,4.0
